prefix,experiment,model,topics,conditions,runs
e1t,E1 six-topic replication,Llama-3.1-8B,6 topics,11,88
e1,E1 trait levels,Llama-3.1-8B,2 topics,11,88
e2,E2 heterogeneity,Llama-3.1-8B,2 topics,4,32
e2t,E2 six-topic replication,Llama-3.1-8B,6 topics,4,32
e3,E3 response surface,Llama-3.1-8B,2 topics,9,72
e5,E5 robustness audit,Llama-3.1-8B,2 topics,24,72
abpr,R1 probe-anchor ablation,Llama-3.1-8B,2 topics,10,80
abex,R2 expressed-stance variant,Llama-3.1-8B,2 topics,3,24
abwi,R2 recommender ablation,Llama-3.1-8B,2 topics,10,80
scale,Scale ablation,Llama-3.1-8B,2 topics,1,3
e3llama3b,E3 replication,Llama-3.2-3B (excluded),2 topics,9,45
e1q,E1 replication,Qwen2.5-14B,2 topics,11,55
e2q,E2 replication,Qwen2.5-14B,2 topics,4,20
e3q,E3 replication,Qwen2.5-14B,2 topics,9,45
e3l,E3 replication,Qwen2.5-32B,2 topics,9,45
e3qwen3b,E3 replication,Qwen2.5-3B (excluded),2 topics,9,45
e1qwen7,E1 replication,Qwen2.5-7B,2 topics,11,88
e2qwen7,E2 replication,Qwen2.5-7B,2 topics,4,32
e3qwen7,E3 replication,Qwen2.5-7B,2 topics,9,45
